预测准确率,预测存在于前n中类别的比例,种类名称
1.0,1.0,墨鱼
1.0,1.0,寄居蟹
1.0,1.0,射水鱼
1.0,1.0,小丑鱼
0.8620689655172413,1.0,水母
1.0,1.0,河豚
0.9310344827586207,0.9310344827586207,海星
0.8666666666666667,1.0,海洋生物大白鲨
0.9333333333333333,1.0,海洋生物海马
1.0,1.0,海洋生物鲸鲨
1.0,1.0,海葵
1.0,1.0,海豹
0.8275862068965517,0.9310344827586207,海龟
1.0,1.0,狮子鱼
0.7666666666666667,0.9,珊瑚
0.8620689655172413,1.0,石头鱼
0.9655172413793104,1.0,石斑鱼
0.9655172413793104,0.9655172413793104,章鱼
1.0,1.0,红尾鲶鱼
0.7931034482758621,1.0,蓝吊鱼
1.0,1.0,蓝鲸
0.8666666666666667,1.0,虎鲸
0.8620689655172413,1.0,虾
0.9310344827586207,1.0,螃蟹
1.0,1.0,螺类
0.9666666666666667,1.0,金鱼
0.9,0.9,鲈鱼
0.7931034482758621,1.0,鲟鱼
0.9333333333333333,1.0,鲳鱼
0.7931034482758621,1.0,鳄鱼
0.9032258064516129,0.9032258064516129,鳗鱼
0.9032258064516129,1.0,黄尾副刺尾鱼
0.9,1.0,龙虾
